"Name","DisplayName","Description","Version","Publisher","Category","Source","Path"
"vscode-wordpress-hooks","Hooks IntelliSense for WordPress","IntelliSense and autocompletion for WordPress hooks, actions, and filters","1.5.0","johnbillion","Snippet","Cursor","C:\Users\Chris\.cursor\extensions\johnbillion.vscode-wordpress-hooks-1.5.0"
"claude-dev-experimental","Claude Coder","Claude Coder: Your AI pair programmer in VSCode. Powered by Anthropic's Claude, it assists both beginners and pros in coding, debugging, and more. Create/edit files and execute commands with AI guidance. Perfect for no-coders to senior devs. Enjoy free credits to supercharge your coding experience. Let Claude Coder transform your IDE into a collaborative AI workspace.","2.3.11","kodu-ai","AI Assistant","Cursor","C:\Users\Chris\.cursor\extensions\kodu-ai.claude-dev-experimental-2.3.11"
"vscode-glimmer-syntax","Glimmer Templates Syntax for VS Code","Glimmer templates syntax","1.0.35","lifeart","Language","Cursor","C:\Users\Chris\.cursor\extensions\lifeart.vscode-glimmer-syntax-1.0.35"
"rainbow-csv","Rainbow CSV","Highlight CSV and TSV files, Run SQL-like queries","3.18.0","mechatroner","AI Assistant","Cursor","C:\Users\Chris\.cursor\extensions\mechatroner.rainbow-csv-3.18.0"
"pieces-vscode","Pieces for VS Code","An on-device storage agent and AI coding assistant integrated throughout your entire toolchain that helps developers capture, enrich, and reuse useful code, as well as debug, add comments, and solve complex problems through a contextual understanding of your unique workflow.","2.0.4","MeshIntelligentTechnologiesInc","Language","Cursor","C:\Users\Chris\.cursor\extensions\meshintelligenttechnologiesinc.pieces-vscode-2.0.4"
"vscode-docker","Docker","Makes it easy to create, manage, and debug containerized applications.","1.29.4","ms-azuretools","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\ms-azuretools.vscode-docker-1.29.4"
"vscode-kubernetes-tools","Kubernetes","Develop, deploy and debug Kubernetes applications","1.3.20","ms-kubernetes-tools","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\ms-kubernetes-tools.vscode-kubernetes-tools-1.3.20"
"debugpy","Python Debugger","Python Debugger extension using debugpy.","2024.6.0","ms-python","Debugging/Testing","Cursor","C:\Users\Chris\.cursor\extensions\ms-python.debugpy-2024.6.0-win32-x64"
"python","Python","Python language support with extension access points for IntelliSense (Pylance), Debugging (Python Debugger), linting, formatting, refactoring, unit tests, and more.","2024.12.3","ms-python","Language","Cursor","C:\Users\Chris\.cursor\extensions\ms-python.python-2024.12.3-win32-x64"
"vscode-pylance","Pylance","A performant, feature-rich language server for Python in VS Code","2024.8.1","ms-python","Language","Cursor","C:\Users\Chris\.cursor\extensions\ms-python.vscode-pylance-2024.8.1"
"remote-containers","%displayName%","%description%","0.394.0","ms-vscode-remote","AI Assistant","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode-remote.remote-containers-0.394.0"
"remote-wsl","%displayName%","%description%","0.81.8","ms-vscode-remote","Other","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode-remote.remote-wsl-0.81.8"
"live-server","Live Preview","Hosts a local server in your workspace for you to preview your webpages on.","0.4.15","ms-vscode","Other","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode.live-server-0.4.15"
"powershell","PowerShell","Develop PowerShell modules, commands and scripts in Visual Studio Code!","2025.0.0","ms-vscode","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode.powershell-2025.0.0"
"vs-browser","VS Browser","Built-in browser for Visual Studio Code","2.2.0","Phu1237","Other","Cursor","C:\Users\Chris\.cursor\extensions\phu1237.vs-browser-2.2.0"
"vscode-yaml","YAML","YAML Language Support by Red Hat, with built-in Kubernetes syntax support","1.17.0","redhat","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\redhat.vscode-yaml-1.17.0"
"twinny","twinny - AI Code Completion and Chat","Locally hosted AI code completion plugin for vscode","3.22.26","rjmacarthy","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\rjmacarthy.twinny-3.22.26-win32-x64"
"roo-cline","Roo Code (prev. Roo Cline)","A whole dev team of AI agents in your editor.","3.8.6","RooVeterinaryInc","Language","Cursor","C:\Users\Chris\.cursor\extensions\rooveterinaryinc.roo-cline-3.8.6"
"wordpress-toolbox","WordPress Snippets","The ultimate WordPress snippet collection. WordPress 6.0","1.3.15","wordpresstoolbox","Snippet","Cursor","C:\Users\Chris\.cursor\extensions\wordpresstoolbox.wordpress-toolbox-1.3.15"
"cors-browser","Open Browser Preview","????Preview file in your default browser","1.0.11","Wscats","Debugging/Testing","Cursor","C:\Users\Chris\.cursor\extensions\wscats.cors-browser-1.0.11"
"php-debug","PHP Debug","Debug support for PHP with Xdebug","1.35.0","xdebug","Debugging/Testing","Cursor","C:\Users\Chris\.cursor\extensions\xdebug.php-debug-1.35.0"
"vscode-open-in-github","Open in GitHub, GitLab, Gitea, Bitbucket, VisualStudio.com !","Jump to a source code line in GitHub, GitLab, Gitea, Bitbucket, VisualStudio.com !","1.4.1","ziyasal","Source Control","Cursor","C:\Users\Chris\.cursor\extensions\ziyasal.vscode-open-in-github-1.4.1-universal"
"project-manager","Project Manager","Easily switch between projects","12.8.0","alefragnani","Other","VSCode","C:\Users\Chris\.vscode\extensions\alefragnani.project-manager-12.8.0"
"appmap","AppMap","AI-driven chat with a deep understanding of your code. Build effective solutions using an intuitive chat interface and powerful code visualizations.","0.133.1","appland","Language","VSCode","C:\Users\Chris\.vscode\extensions\appland.appmap-0.133.1"
