"Name","DisplayName","Description","Version","Publisher","Category","Source","Path"
"vscode-pylance","Pylance","A performant, feature-rich language server for Python in VS Code","2025.3.1","ms-python","Language","VSCode","C:\Users\Chris\.vscode\extensions\ms-python.vscode-pylance-2025.3.1"
"remote-containers","%displayName%","%description%","0.401.0","ms-vscode-remote","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\ms-vscode-remote.remote-containers-0.401.0"
"remote-wsl","%displayName%","%description%","0.88.5","ms-vscode-remote","Other","VSCode","C:\Users\Chris\.vscode\extensions\ms-vscode-remote.remote-wsl-0.88.5"
"live-server","Live Preview","Hosts a local server in your workspace for you to preview your webpages on.","0.4.15","ms-vscode","Other","VSCode","C:\Users\Chris\.vscode\extensions\ms-vscode.live-server-0.4.15"
"vscode-yaml","YAML","YAML Language Support by Red Hat, with built-in Kubernetes syntax support","1.17.0","redhat","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\redhat.vscode-yaml-1.17.0"
"twinny","twinny - AI Code Completion and Chat","Locally hosted AI code completion plugin for vscode","3.21.7","rjmacarthy","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\rjmacarthy.twinny-3.21.7-win32-x64"
"twinny","twinny - AI Code Completion and Chat","Locally hosted AI code completion plugin for vscode","3.22.19","rjmacarthy","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\rjmacarthy.twinny-3.22.19-win32-x64"
"roo-cline","Roo Code (prev. Roo Cline)","A whole dev team of AI agents in your editor.","3.8.4","RooVeterinaryInc","Language","VSCode","C:\Users\Chris\.vscode\extensions\rooveterinaryinc.roo-cline-3.8.4"
"cody-ai","Cody: AI Code Assistant","Sourcegraph???s AI code assistant goes beyond individual dev productivity, helping enterprises achieve consistency and quality at scale with AI. & codebase context to help you write code faster. Cody brings you autocomplete, chat, and commands, so you can generate code, write unit tests, create docs, and explain complex code using AI. Choose from the best LLMs, including GPT-4o and Claude 3.5 Sonnet.","1.74.0","sourcegraph","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\sourcegraph.cody-ai-1.74.0"
"vscode-open-in-github","Open in GitHub, Bitbucket, Gitlab, VisualStudio.com !","Jump to a source code line in Github, Bitbucket, Gitlab, VisualStudio.com !","1.3.6","ziyasal","Source Control","VSCode","C:\Users\Chris\.vscode\extensions\ziyasal.vscode-open-in-github-1.3.6"
