"Name","DisplayName","Description","Version","Publisher","Category","Source","Path"
"vscode-wordpress-hooks","Hooks IntelliSense for WordPress","IntelliSense and autocompletion for WordPress hooks, actions, and filters","1.5.0","johnbillion","Snippet","Cursor","C:\Users\Chris\.cursor\extensions\johnbillion.vscode-wordpress-hooks-1.5.0"
"claude-dev-experimental","Claude Coder","Claude Coder: Your AI pair programmer in VSCode. Powered by Anthropic's Claude, it assists both beginners and pros in coding, debugging, and more. Create/edit files and execute commands with AI guidance. Perfect for no-coders to senior devs. Enjoy free credits to supercharge your coding experience. Let Claude Coder transform your IDE into a collaborative AI workspace.","2.3.11","kodu-ai","AI Assistant","Cursor","C:\Users\Chris\.cursor\extensions\kodu-ai.claude-dev-experimental-2.3.11"
"vscode-glimmer-syntax","Glimmer Templates Syntax for VS Code","Glimmer templates syntax","1.0.35","lifeart","Language","Cursor","C:\Users\Chris\.cursor\extensions\lifeart.vscode-glimmer-syntax-1.0.35"
"rainbow-csv","Rainbow CSV","Highlight CSV and TSV files, Run SQL-like queries","3.18.0","mechatroner","AI Assistant","Cursor","C:\Users\Chris\.cursor\extensions\mechatroner.rainbow-csv-3.18.0"
"pieces-vscode","Pieces for VS Code","An on-device storage agent and AI coding assistant integrated throughout your entire toolchain that helps developers capture, enrich, and reuse useful code, as well as debug, add comments, and solve complex problems through a contextual understanding of your unique workflow.","2.0.4","MeshIntelligentTechnologiesInc","Language","Cursor","C:\Users\Chris\.cursor\extensions\meshintelligenttechnologiesinc.pieces-vscode-2.0.4"
"vscode-docker","Docker","Makes it easy to create, manage, and debug containerized applications.","1.29.4","ms-azuretools","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\ms-azuretools.vscode-docker-1.29.4"
"vscode-kubernetes-tools","Kubernetes","Develop, deploy and debug Kubernetes applications","1.3.20","ms-kubernetes-tools","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\ms-kubernetes-tools.vscode-kubernetes-tools-1.3.20"
"debugpy","Python Debugger","Python Debugger extension using debugpy.","2024.6.0","ms-python","Debugging/Testing","Cursor","C:\Users\Chris\.cursor\extensions\ms-python.debugpy-2024.6.0-win32-x64"
"python","Python","Python language support with extension access points for IntelliSense (Pylance), Debugging (Python Debugger), linting, formatting, refactoring, unit tests, and more.","2024.12.3","ms-python","Language","Cursor","C:\Users\Chris\.cursor\extensions\ms-python.python-2024.12.3-win32-x64"
"vscode-pylance","Pylance","A performant, feature-rich language server for Python in VS Code","2024.8.1","ms-python","Language","Cursor","C:\Users\Chris\.cursor\extensions\ms-python.vscode-pylance-2024.8.1"
"remote-containers","%displayName%","%description%","0.394.0","ms-vscode-remote","AI Assistant","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode-remote.remote-containers-0.394.0"
"remote-wsl","%displayName%","%description%","0.81.8","ms-vscode-remote","Other","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode-remote.remote-wsl-0.81.8"
"live-server","Live Preview","Hosts a local server in your workspace for you to preview your webpages on.","0.4.15","ms-vscode","Other","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode.live-server-0.4.15"
"powershell","PowerShell","Develop PowerShell modules, commands and scripts in Visual Studio Code!","2025.0.0","ms-vscode","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\ms-vscode.powershell-2025.0.0"
"vs-browser","VS Browser","Built-in browser for Visual Studio Code","2.2.0","Phu1237","Other","Cursor","C:\Users\Chris\.cursor\extensions\phu1237.vs-browser-2.2.0"
"vscode-yaml","YAML","YAML Language Support by Red Hat, with built-in Kubernetes syntax support","1.17.0","redhat","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\redhat.vscode-yaml-1.17.0"
"twinny","twinny - AI Code Completion and Chat","Locally hosted AI code completion plugin for vscode","3.22.26","rjmacarthy","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\rjmacarthy.twinny-3.22.26-win32-x64"
"roo-cline","Roo Code (prev. Roo Cline)","A whole dev team of AI agents in your editor.","3.8.6","RooVeterinaryInc","Language","Cursor","C:\Users\Chris\.cursor\extensions\rooveterinaryinc.roo-cline-3.8.6"
"wordpress-toolbox","WordPress Snippets","The ultimate WordPress snippet collection. WordPress 6.0","1.3.15","wordpresstoolbox","Snippet","Cursor","C:\Users\Chris\.cursor\extensions\wordpresstoolbox.wordpress-toolbox-1.3.15"
"cors-browser","Open Browser Preview","????Preview file in your default browser","1.0.11","Wscats","Debugging/Testing","Cursor","C:\Users\Chris\.cursor\extensions\wscats.cors-browser-1.0.11"
"php-debug","PHP Debug","Debug support for PHP with Xdebug","1.35.0","xdebug","Debugging/Testing","Cursor","C:\Users\Chris\.cursor\extensions\xdebug.php-debug-1.35.0"
"vscode-open-in-github","Open in GitHub, GitLab, Gitea, Bitbucket, VisualStudio.com !","Jump to a source code line in GitHub, GitLab, Gitea, Bitbucket, VisualStudio.com !","1.4.1","ziyasal","Source Control","Cursor","C:\Users\Chris\.cursor\extensions\ziyasal.vscode-open-in-github-1.4.1-universal"
"project-manager","Project Manager","Easily switch between projects","12.8.0","alefragnani","Other","VSCode","C:\Users\Chris\.vscode\extensions\alefragnani.project-manager-12.8.0"
"appmap","AppMap","AI-driven chat with a deep understanding of your code. Build effective solutions using an intuitive chat interface and powerful code visualizations.","0.133.1","appland","Language","VSCode","C:\Users\Chris\.vscode\extensions\appland.appmap-0.133.1"
"Code-Mate","CodeMate AI- Your Smartest AI Coding Assistant","CodeMate is an AI programming assistant that helps you write better code. It helps you understand complex codebase, generate code, fix errors, optimize or review code, and more. It works with Python, C++, C, Java, Javascript, Typescript, Ruby & all major programming languages. Try it out for free!.","2.9.14","AyushSinghal","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\ayushsinghal.code-mate-2.9.14"
"ember-module-snippets","Ember Module Snippets","Snippets to make importing Ember modules a snap in VSCode.","1.3.121","candidmetrics","Snippet","VSCode","C:\Users\Chris\.vscode\extensions\candidmetrics.ember-module-snippets-1.3.121"
"codeium","Codeium: AI Coding Autocomplete and Chat for Python, Javascript, Typescript, Java, Go, and more","The modern coding superpower: free AI code acceleration plugin for your favorite languages. Type less. Code more. Ship faster.","1.40.1","Codeium","Language","VSCode","C:\Users\Chris\.vscode\extensions\codeium.codeium-1.40.1"
"gitignore","gitignore","Lets you pull .gitignore templates from the https://github.com/github/gitignore repository. Language support for .gitignore files.","0.10.0","codezombiech","Language","VSCode","C:\Users\Chris\.vscode\extensions\codezombiech.gitignore-0.10.0"
"continue","Continue - Codestral, Claude, and more","The leading open-source AI code assistant","0.8.66","Continue","Language","VSCode","C:\Users\Chris\.vscode\extensions\continue.continue-0.8.66-win32-x64"
"continue","Continue - Codestral, Claude, and more","The leading open-source AI code assistant","1.0.3","Continue","Language","VSCode","C:\Users\Chris\.vscode\extensions\continue.continue-1.0.3-win32-x64"
"vscode-markdownlint","markdownlint","Markdown linting and style checking for Visual Studio Code","0.59.0","DavidAnson","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\davidanson.vscode-markdownlint-0.59.0"
"githistory","Git History","View git log, file history, compare branches or commits","0.6.20","donjayamanne","Source Control","VSCode","C:\Users\Chris\.vscode\extensions\donjayamanne.githistory-0.6.20"
"emberjs","Ember.js Extension Pack","All the extensions you need for developing Ember.js applications.","2.0.6","EmberTooling","Extension Pack","VSCode","C:\Users\Chris\.vscode\extensions\embertooling.emberjs-2.0.6"
"vscode-ember","Ember Language Server","Provides features like auto complete, goto definition and diagnostics for Ember.js projects","3.0.59","EmberTooling","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\embertooling.vscode-ember-3.0.59"
"EntelligenceAI","EntelligenceAI","Stop context-switching between your editor and ChatGPT. EntelligenceAI brings the power of AI right into VS Code, helping you code smart.","0.0.49","EntelligenceAI","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\entelligenceai.entelligenceai-0.0.49"
"prettier-vscode","Prettier - Code formatter","Code formatter using prettier","11.0.0","esbenp","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\esbenp.prettier-vscode-11.0.0"
"codespaces","%extension.codespaces.displayName%","%extension.codespaces.description%","1.17.3","GitHub","Other","VSCode","C:\Users\Chris\.vscode\extensions\github.codespaces-1.17.3"
"copilot","GitHub Copilot","Your AI pair programmer","1.270.0","GitHub","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\github.copilot-1.270.0"
"copilot","GitHub Copilot","Your AI pair programmer","1.277.0","GitHub","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\github.copilot-1.277.0"
"copilot-chat","GitHub Copilot Chat","AI chat features powered by Copilot","0.23.2","GitHub","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\github.copilot-chat-0.23.2"
"copilot-chat","GitHub Copilot Chat","AI chat features powered by Copilot","0.24.1","GitHub","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\github.copilot-chat-0.24.1"
"copilot-chat","GitHub Copilot Chat","AI chat features powered by Copilot","0.25.0","GitHub","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\github.copilot-chat-0.25.0"
"copilot-workspace","GitHub Copilot Workspace","Use GitHub Copilot Workspace from the comfort of VS Code. Continue an existing session and edit and debug the proposed changes before creating a PR.","0.5.4","github","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\github.copilot-workspace-0.5.4"
"vscode-github-actions","GitHub Actions","GitHub Actions workflows and runs for github.com hosted repositories in VS Code","0.27.1","github","Source Control","VSCode","C:\Users\Chris\.vscode\extensions\github.vscode-github-actions-0.27.1"
"vscode-pull-request-github","%displayName%","%description%","0.100.3","GitHub","Source Control","VSCode","C:\Users\Chris\.vscode\extensions\github.vscode-pull-request-github-0.100.3"
"vscode-pull-request-github","%displayName%","%description%","0.102.0","GitHub","Source Control","VSCode","C:\Users\Chris\.vscode\extensions\github.vscode-pull-request-github-0.102.0"
"vscode-pull-request-github","%displayName%","%description%","0.106.0","GitHub","Source Control","VSCode","C:\Users\Chris\.vscode\extensions\github.vscode-pull-request-github-0.106.0"
"claude-dev-experimental","Claude Coder","Claude Coder: Your AI pair programmer in VSCode. Powered by Anthropic's Claude, it assists both beginners and pros in coding, debugging, and more. Create/edit files and execute commands with AI guidance. Perfect for no-coders to senior devs. Enjoy free credits to supercharge your coding experience. Let Claude Coder transform your IDE into a collaborative AI workspace.","2.3.9","kodu-ai","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\kodu-ai.claude-dev-experimental-2.3.9"
"vscode-glimmer-syntax","Glimmer Templates Syntax for VS Code","Glimmer templates syntax","1.0.35","lifeart","Language","VSCode","C:\Users\Chris\.vscode\extensions\lifeart.vscode-glimmer-syntax-1.0.35"
"pieces-vscode","Pieces for VS Code","An on-device storage agent and AI coding assistant integrated throughout your entire toolchain that helps developers capture, enrich, and reuse useful code, as well as debug, add comments, and solve complex problems through a contextual understanding of your unique workflow.","2.0.4","MeshIntelligentTechnologiesInc","Language","VSCode","C:\Users\Chris\.vscode\extensions\meshintelligenttechnologiesinc.pieces-vscode-2.0.4"
"vscode-docker","Docker","Makes it easy to create, manage, and debug containerized applications.","1.29.4","ms-azuretools","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\ms-azuretools.vscode-docker-1.29.4"
"vscode-kubernetes-tools","Kubernetes","Develop, deploy and debug Kubernetes applications","1.3.20","ms-kubernetes-tools","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\ms-kubernetes-tools.vscode-kubernetes-tools-1.3.20"
"debugpy","Python Debugger","Python Debugger extension using debugpy.","2024.14.0","ms-python","Debugging/Testing","VSCode","C:\Users\Chris\.vscode\extensions\ms-python.debugpy-2024.14.0-win32-x64"
"debugpy","Python Debugger","Python Debugger extension using debugpy.","2025.4.0","ms-python","Debugging/Testing","VSCode","C:\Users\Chris\.vscode\extensions\ms-python.debugpy-2025.4.0-win32-x64"
"python","Python","Python language support with extension access points for IntelliSense (Pylance), Debugging (Python Debugger), linting, formatting, refactoring, unit tests, and more.","2024.22.2","ms-python","Language","VSCode","C:\Users\Chris\.vscode\extensions\ms-python.python-2024.22.2-win32-x64"
"python","Python","Python language support with extension access points for IntelliSense (Pylance), Debugging (Python Debugger), linting, formatting, refactoring, unit tests, and more.","2025.2.0","ms-python","Language","VSCode","C:\Users\Chris\.vscode\extensions\ms-python.python-2025.2.0-win32-x64"
"vscode-pylance","Pylance","A performant, feature-rich language server for Python in VS Code","2025.3.1","ms-python","Language","VSCode","C:\Users\Chris\.vscode\extensions\ms-python.vscode-pylance-2025.3.1"
"remote-containers","%displayName%","%description%","0.401.0","ms-vscode-remote","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\ms-vscode-remote.remote-containers-0.401.0"
"remote-wsl","%displayName%","%description%","0.88.5","ms-vscode-remote","Other","VSCode","C:\Users\Chris\.vscode\extensions\ms-vscode-remote.remote-wsl-0.88.5"
"live-server","Live Preview","Hosts a local server in your workspace for you to preview your webpages on.","0.4.15","ms-vscode","Other","VSCode","C:\Users\Chris\.vscode\extensions\ms-vscode.live-server-0.4.15"
"vscode-yaml","YAML","YAML Language Support by Red Hat, with built-in Kubernetes syntax support","1.17.0","redhat","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\redhat.vscode-yaml-1.17.0"
"twinny","twinny - AI Code Completion and Chat","Locally hosted AI code completion plugin for vscode","3.21.7","rjmacarthy","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\rjmacarthy.twinny-3.21.7-win32-x64"
"twinny","twinny - AI Code Completion and Chat","Locally hosted AI code completion plugin for vscode","3.22.19","rjmacarthy","Linter/Formatter","VSCode","C:\Users\Chris\.vscode\extensions\rjmacarthy.twinny-3.22.19-win32-x64"
"roo-cline","Roo Code (prev. Roo Cline)","A whole dev team of AI agents in your editor.","3.8.4","RooVeterinaryInc","Language","VSCode","C:\Users\Chris\.vscode\extensions\rooveterinaryinc.roo-cline-3.8.4"
"cody-ai","Cody: AI Code Assistant","Sourcegraph???s AI code assistant goes beyond individual dev productivity, helping enterprises achieve consistency and quality at scale with AI. & codebase context to help you write code faster. Cody brings you autocomplete, chat, and commands, so you can generate code, write unit tests, create docs, and explain complex code using AI. Choose from the best LLMs, including GPT-4o and Claude 3.5 Sonnet.","1.74.0","sourcegraph","AI Assistant","VSCode","C:\Users\Chris\.vscode\extensions\sourcegraph.cody-ai-1.74.0"
"vscode-open-in-github","Open in GitHub, Bitbucket, Gitlab, VisualStudio.com !","Jump to a source code line in Github, Bitbucket, Gitlab, VisualStudio.com !","1.3.6","ziyasal","Source Control","VSCode","C:\Users\Chris\.vscode\extensions\ziyasal.vscode-open-in-github-1.3.6"
